dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,round,global_eval_auc_mean,global_eval_auc_std,global_eval_auc_ci95_low,global_eval_auc_ci95_high,global_eval_auc_n,global_eval_f1_mean,global_eval_f1_std,global_eval_f1_ci95_low,global_eval_f1_ci95_high,global_eval_f1_n,global_eval_ece_mean,global_eval_ece_std,global_eval_ece_ci95_low,global_eval_ece_ci95_high,global_eval_ece_n,cumulative_communication_bytes_mean,cumulative_communication_bytes_std,cumulative_communication_bytes_ci95_low,cumulative_communication_bytes_ci95_high,cumulative_communication_bytes_n,round_communication_bytes_mean,round_communication_bytes_std,round_communication_bytes_ci95_low,round_communication_bytes_ci95_high,round_communication_bytes_n,params_bytes_mean,params_bytes_std,params_bytes_ci95_low,params_bytes_ci95_high,params_bytes_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,26,0.8218144571595821,0.0020235873668514354,0.8195245524860605,0.8241043618331038,3,0.24322313621810152,0.009495412887184855,0.2324780650125952,0.2539682074236078,3,0.011016089715226033,0.0022946654872577606,0.008419431271159945,0.01361274815929212,3,27456.0,0.0,27456.0,27456.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,27,0.8218279986025188,0.002014422687060009,0.8195484647404726,0.8241075324645649,3,0.24302064502800158,0.008778019236569009,0.23308738116039932,0.2529539088956039,3,0.011139733557112402,0.0023278656130230374,0.008505505634012799,0.013773961480212005,3,28512.0,0.0,28512.0,28512.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,28,0.8218221252446135,0.0020219724962253615,0.8195340479692337,0.8241102025199933,3,0.2411839841510065,0.005753764330938146,0.23467298687577773,0.24769498142623528,3,0.011098059361083332,0.0023695479523183193,0.008416663430751065,0.0137794552914156,3,29568.0,0.0,29568.0,29568.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,29,0.8218286573170476,0.002016945903636609,0.8195462681666528,0.8241110464674424,3,0.24340288594804457,0.009547983392524533,0.23259832561553603,0.25420744628055314,3,0.0110198981489745,0.002286147096628671,0.008432879171349036,0.013606917126599963,3,30624.0,0.0,30624.0,30624.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,30,0.8218090610997454,0.0020368314840139724,0.8195041692967903,0.8241139529027005,3,0.2420572354298365,0.005947610757431861,0.23532688027303325,0.24878759058663977,3,0.010921974270469701,0.002548828196234589,0.008037703645849971,0.013806244895089432,3,31680.0,0.0,31680.0,31680.0,3,1056.0,0.0,1056.0,1056.0,3,176.0,0.0,176.0,176.0,3
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,31,0.8204345430896699,0.0,0.8204345430896699,0.8204345430896699,1,0.2489364023126432,0.0,0.2489364023126432,0.2489364023126432,1,0.0088627808275085,0.0,0.0088627808275085,0.0088627808275085,1,32736.0,0.0,32736.0,32736.0,1,1056.0,0.0,1056.0,1056.0,1,176.0,0.0,176.0,176.0,1
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,32,0.8204290617209022,0.0,0.8204290617209022,0.8204290617209022,1,0.2503813466986271,0.0,0.2503813466986271,0.2503813466986271,1,0.0089214676854559,0.0,0.0089214676854559,0.0089214676854559,1,33792.0,0.0,33792.0,33792.0,1,1056.0,0.0,1056.0,1056.0,1,176.0,0.0,176.0,176.0,1
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,33,0.820463922837515,0.0,0.820463922837515,0.820463922837515,1,0.2534966930499837,0.0,0.2534966930499837,0.2534966930499837,1,0.0089617844255354,0.0,0.0089617844255354,0.0089617844255354,1,34848.0,0.0,34848.0,34848.0,1,1056.0,0.0,1056.0,1056.0,1,176.0,0.0,176.0,176.0,1
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,34,0.8204057367474232,0.0,0.8204057367474232,0.8204057367474232,1,0.2455371810316504,0.0,0.2455371810316504,0.2455371810316504,1,0.0088461522626461,0.0,0.0088461522626461,0.0088461522626461,1,35904.0,0.0,35904.0,35904.0,1,1056.0,0.0,1056.0,1056.0,1,176.0,0.0,176.0,176.0,1
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,35,0.8203950817699546,0.0,0.8203950817699546,0.8203950817699546,1,0.2506533101045296,0.0,0.2506533101045296,0.2506533101045296,1,0.0089151802833504,0.0,0.0089151802833504,0.0089151802833504,1,36960.0,0.0,36960.0,36960.0,1,1056.0,0.0,1056.0,1056.0,1,176.0,0.0,176.0,176.0,1
