dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,cell,count_mean,count_std,count_ci95_low,count_ci95_high,count_n
cdc,audit,5,non_iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,FN,2794.0,258.28085488475523,2501.7276986552893,3086.2723013447107,3
cdc,audit,5,non_iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,FP,7310.0,846.2145118112783,6352.418134674638,8267.581865325363,3
cdc,audit,5,non_iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,TN,36357.0,846.2145118112783,35399.41813467464,37314.58186532536,3
cdc,audit,5,non_iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,TP,4275.0,258.28085488475523,3982.7276986552893,4567.27230134471,3
cdc,audit,5,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,FN,2778.3333333333335,287.9415449936555,2452.4968014479246,3104.1698652187424,3
cdc,audit,5,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,FP,7353.333333333333,941.7071377733809,6287.691389130476,8418.97527753619,3
cdc,audit,5,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,TN,36313.666666666664,941.7071377733809,35248.02472246381,37379.30861086952,3
cdc,audit,5,non_iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,TP,4290.666666666667,287.9415449936555,3964.830134781258,4616.503198552076,3
cdc,audit,5,non_iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,FN,2725.6666666666665,215.0635564974534,2482.2993422827676,2969.0339910505654,3
cdc,audit,5,non_iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,FP,7544.0,701.834025963404,6749.800034919836,8338.199965080164,3
cdc,audit,5,non_iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,TN,36123.0,701.834025963404,35328.800034919834,36917.199965080166,3
cdc,audit,5,non_iid,0.5,federated,fedprox,logistic,federated_isotonic,calib_f1_optimal,TP,4343.333333333333,215.06355649745342,4099.966008949435,4586.7006577172315,3
cdc,audit,5,non_iid,0.5,federated,fedprox,logistic,federated_sigmoid,calib_f1_optimal,FN,2762.3333333333335,302.02207424844516,2420.5631826309773,3104.1034840356897,3
cdc,audit,5,non_iid,0.5,federated,fedprox,logistic,federated_sigmoid,calib_f1_optimal,FP,7432.333333333333,985.0098138258996,6317.6897982463925,8546.976868420274,3
cdc,audit,5,non_iid,0.5,federated,fedprox,logistic,federated_sigmoid,calib_f1_optimal,TN,36234.666666666664,985.0098138258995,35120.02313157972,37349.31020175361,3
