dataset,experiment_track,clients,partition,alpha,run_type,algorithm,model,calibration,threshold_strategy,bin,lower,upper,count_mean,count_std,count_ci95_low,count_ci95_high,count_n,avg_predicted_risk_mean,avg_predicted_risk_std,avg_predicted_risk_ci95_low,avg_predicted_risk_ci95_high,avg_predicted_risk_n,observed_event_rate_mean,observed_event_rate_std,observed_event_rate_ci95_low,observed_event_rate_ci95_high,observed_event_rate_n
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,7,0.6000000000000001,0.7000000000000001,706.0,24.06241883103193,684.9083599499706,727.0916400500294,5,0.6471998080750623,0.0007523942853447301,0.6465403054060403,0.6478593107440842,5,0.514836332975946,0.00803713948253396,0.5077914696067294,0.5218811963451626,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,8,0.7000000000000001,0.8,501.4,21.454603235669495,482.59421110402434,520.2057888959756,5,0.7467582098333354,0.0012238847339962001,0.7456854275642942,0.7478309921023766,5,0.5532843869957451,0.012037886452324597,0.5427327142899191,0.5638360597015711,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,9,0.8,0.9,269.0,27.422618401604176,244.96301516412677,293.0369848358732,5,0.8416618760487762,0.0027172784488012068,0.8392800764732529,0.8440436756242995,5,0.619384157369097,0.02107969257850278,0.6009069921533676,0.6378613225848264,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,calib_f1_optimal,10,0.9,1.0,60.6,9.262828941527529,52.480772450534474,68.71922754946553,5,0.9261703640249334,0.0022273908624261107,0.9242179698516415,0.9281227581982252,5,0.46869124423963127,0.05455224762323083,0.4208740909073406,0.5165083975719219,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,fixed_0p5,1,0.0,0.1,31892.6,120.25306648896733,31787.19353978052,31998.006460219476,5,0.06356194428468402,0.0008950433360638599,0.0627774042097232,0.06434648435964484,5,0.04519532781993024,0.0008458394516198716,0.044453916851275956,0.04593673878858453,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,fixed_0p5,2,0.1,0.2,9593.6,141.29154256359436,9469.752502423344,9717.447497576657,5,0.1391145820679279,0.00026232206934986537,0.13888464663613453,0.13934451749972127,5,0.20351842343996043,0.0036038263359242204,0.20035953037879806,0.2066773165011228,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,fixed_0p5,3,0.2,0.3,3602.0,55.2222781130949,3553.5955390485547,3650.4044609514453,5,0.24446453676887497,0.0005876998999220892,0.2439493950936495,0.24497967844410046,5,0.3132678934680697,0.007855712454956247,0.3063820579001679,0.3201537290359715,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,fixed_0p5,4,0.3,0.4,1941.4,43.36819110823046,1903.3861044353516,1979.4138955646486,5,0.34589770496572836,0.0008128178575934046,0.3451852387004298,0.34661017123102694,5,0.38114432235325596,0.012225711460199778,0.37042801376912043,0.3918606309373915,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,fixed_0p5,5,0.4,0.5,1258.2,36.5882494798535,1226.128985298248,1290.2710147017522,5,0.44617919516188725,0.0008901720387777408,0.44539892496725964,0.4469594653565149,5,0.4190462836400008,0.007762074006348836,0.4122425257911654,0.4258500414888362,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,fixed_0p5,6,0.5,0.6000000000000001,911.2,24.035390573069535,890.1320512626407,932.2679487373593,5,0.5489513696029199,0.0008685285958406321,0.5481900707224847,0.5497126684833551,5,0.4874061963925077,0.029700297936923956,0.46137273741803586,0.5134396553669796,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,fixed_0p5,7,0.6000000000000001,0.7000000000000001,706.0,24.06241883103193,684.9083599499706,727.0916400500294,5,0.6471998080750623,0.0007523942853447301,0.6465403054060403,0.6478593107440842,5,0.514836332975946,0.00803713948253396,0.5077914696067294,0.5218811963451626,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,fixed_0p5,8,0.7000000000000001,0.8,501.4,21.454603235669495,482.59421110402434,520.2057888959756,5,0.7467582098333354,0.0012238847339962001,0.7456854275642942,0.7478309921023766,5,0.5532843869957451,0.012037886452324597,0.5427327142899191,0.5638360597015711,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,fixed_0p5,9,0.8,0.9,269.0,27.422618401604176,244.96301516412677,293.0369848358732,5,0.8416618760487762,0.0027172784488012068,0.8392800764732529,0.8440436756242995,5,0.619384157369097,0.02107969257850278,0.6009069921533676,0.6378613225848264,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,global_sigmoid,fixed_0p5,10,0.9,1.0,60.6,9.262828941527529,52.480772450534474,68.71922754946553,5,0.9261703640249334,0.0022273908624261107,0.9242179698516415,0.9281227581982252,5,0.46869124423963127,0.05455224762323083,0.4208740909073406,0.5165083975719219,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,1,0.0,0.1,27907.4,661.8631278444207,27327.251389300985,28487.548610699017,5,0.042254581160962576,0.0016880556155415818,0.040774935175351294,0.04373422714657386,5,0.03429736347708169,0.0012362655024431304,0.03321372898601499,0.03538099796814839,5
cdc,audit,3,iid,0.5,federated,fedavg,logistic,none,calib_f1_optimal,2,0.1,0.2,10061.8,409.20129520811633,9703.119250274007,10420.480749725992,5,0.14405370443575788,6.668668644539931e-05,0.1439952509778361,0.14411215789367965,5,0.15532760183720545,0.006405114124161972,0.14971327176777954,0.16094193190663136,5
